,TCID50,viremia,day
1,10000,0.3,0
2,10000,0.878093782,3
3,10000,2.415074035,5
4,10000,3.43,7
5,10000,3.114123327,9
6,10000,0.861086404,11
7,10000,0.3,14
8,10000,0.3,18
9,1000,0.3,0
10,1000,0.3,3
11,1000,0.940335476,5
12,1000,2.479131217,7
13,1000,3.3,9
14,1000,1.607066705,11
15,1000,0.674863674,14
16,1000,0.3,18
17,100,0.3,0
18,100,0.3,3
19,100,1.503229665,5
20,100,2.63281863,7
21,100,3.3,9
22,100,2.173337239,11
23,100,0.921845048,14
24,100,0.3,18
25,10,0.3,0
26,10,0.3,3
27,10,1.030710411,5
28,10,2.103120108,7
29,10,3.3,9
30,10,3.037863177,11
31,10,0.844261782,14
32,10,0.3,18
33,1,0.3,0
34,1,0.3,3
35,1,0.3,6
36,1,1.062633401,9
37,1,3.43,13
38,1,2.506067475,17
